#Frame          C4-O5
   0.002       5.0064
   0.004       6.3765
   0.006       6.5226
   0.008       6.4861
   0.010       6.7003
   0.012       6.4443
   0.014       6.9857
   0.016       6.6608
   0.018       5.3844
   0.020       6.6367
   0.022       6.6613
   0.024       5.9244
   0.026       6.2275
   0.028       6.2423
   0.030       5.9394
   0.032       6.9553
   0.034       7.0227
   0.036       6.1814
   0.038       6.6062
   0.040       6.3108
   0.042       6.5675
   0.044       6.3341
   0.046       6.4344
   0.048       6.3804
   0.050       6.8344
   0.052       6.4244
   0.054       6.3221
   0.056       6.5210
   0.058       6.1443
   0.060       6.3246
   0.062       6.2130
   0.064       6.3439
   0.066       6.0730
   0.068       6.1325
   0.070       6.2944
   0.072       6.0456
   0.074       6.7332
   0.076       6.9824
   0.078       6.0626
   0.080       5.4306
   0.082       6.6178
   0.084       6.4521
   0.086       6.5108
   0.088       6.4602
   0.090       5.9151
   0.092       6.2811
   0.094       6.7270
   0.096       6.5150
   0.098       6.6684
   0.100       6.5306
   0.102       6.2029
   0.104       5.7935
   0.106       6.8321
   0.108       6.1463
   0.110       5.8629
   0.112       6.4191
   0.114       6.2595
   0.116       6.7702
   0.118       5.9689
   0.120       6.3459
   0.122       7.0722
   0.124       6.4376
   0.126       6.0564
   0.128       6.6319
   0.130       5.7656
   0.132       6.0586
   0.134       6.2210
   0.136       6.9321
   0.138       6.1922
   0.140       6.5956
   0.142       6.8271
   0.144       6.3590
   0.146       6.5775
   0.148       6.3749
   0.150       6.3065
   0.152       6.1974
   0.154       6.6938
   0.156       5.9353
   0.158       6.7519
   0.160       6.7282
   0.162       6.6095
   0.164       7.0127
   0.166       6.7540
   0.168       6.3360
   0.170       6.6284
   0.172       6.3550
   0.174       6.2113
   0.176       6.8223
   0.178       6.2506
   0.180       5.9830
   0.182       6.8606
   0.184       6.3288
   0.186       6.1299
   0.188       6.4825
   0.190       6.4691
   0.192       6.4711
   0.194       7.3031
   0.196       6.8996
   0.198       6.4140
   0.200       6.6639
   0.202       6.7181
   0.204       6.2980
   0.206       6.3306
   0.208       5.7626
   0.210       6.4384
   0.212       6.5666
   0.214       6.4645
   0.216       5.8601
   0.218       5.9806
   0.220       6.4235
   0.222       5.8884
   0.224       6.0581
   0.226       6.3820
   0.228       6.3087
   0.230       6.3689
   0.232       5.2969
   0.234       6.2208
   0.236       6.2152
   0.238       6.4573
   0.240       5.1893
   0.242       5.7243
   0.244       6.4994
   0.246       5.8065
   0.248       5.8387
   0.250       6.4771
   0.252       6.1523
   0.254       6.6124
   0.256       6.6420
   0.258       6.0986
   0.260       5.8637
   0.262       5.8746
   0.264       6.0038
   0.266       6.1630
   0.268       6.7018
   0.270       6.2836
   0.272       6.6763
   0.274       6.2138
   0.276       7.0432
   0.278       6.8555
   0.280       7.0812
   0.282       6.5497
   0.284       5.7277
   0.286       6.6531
   0.288       6.5032
   0.290       6.0360
   0.292       6.1553
   0.294       6.5032
   0.296       6.2759
   0.298       5.9921
   0.300       6.2802
   0.302       6.5790
   0.304       6.0897
   0.306       5.7986
   0.308       6.4352
   0.310       6.5315
   0.312       7.1130
   0.314       6.4281
   0.316       6.1636
   0.318       6.0787
   0.320       5.7077
   0.322       5.8719
   0.324       5.9829
   0.326       6.1103
   0.328       6.1745
   0.330       6.3450
   0.332       6.0676
   0.334       6.0108
   0.336       6.3433
   0.338       6.4593
   0.340       6.4225
   0.342       6.6488
   0.344       6.4079
   0.346       5.9957
   0.348       6.6617
   0.350       6.2104
   0.352       6.3360
   0.354       5.7168
   0.356       5.7057
   0.358       5.6783
   0.360       6.6146
   0.362       5.6858
   0.364       5.9659
   0.366       6.5526
   0.368       6.5132
   0.370       6.6177
   0.372       5.3551
   0.374       5.9952
   0.376       6.0532
   0.378       5.8835
   0.380       6.9226
   0.382       5.8432
   0.384       4.9535
   0.386       5.4238
   0.388       5.7809
   0.390       6.1517
   0.392       6.1312
   0.394       5.6107
   0.396       5.7467
   0.398       6.4417
   0.400       6.6988
   0.402       6.1613
   0.404       5.7662
   0.406       6.1766
   0.408       6.2185
   0.410       6.2059
   0.412       6.1561
   0.414       5.7872
   0.416       5.4723
   0.418       6.3016
   0.420       5.6779
   0.422       5.7654
   0.424       6.6592
   0.426       5.8007
   0.428       5.8242
   0.430       6.0966
   0.432       5.7962
   0.434       5.9813
   0.436       5.9159
   0.438       6.5132
   0.440       6.0494
   0.442       5.7422
   0.444       6.1189
   0.446       6.0218
   0.448       6.3728
   0.450       5.8570
   0.452       5.6609
   0.454       5.9965
   0.456       6.3294
   0.458       6.5719
   0.460       6.4502
   0.462       7.0286
   0.464       7.1148
   0.466       6.1355
   0.468       6.5177
   0.470       6.8458
   0.472       6.9615
   0.474       6.4937
   0.476       7.1659
   0.478       6.9766
   0.480       6.4430
   0.482       6.9677
   0.484       6.8721
   0.486       6.6708
   0.488       6.7628
   0.490       7.1659
   0.492       6.5570
   0.494       6.8335
   0.496       6.5183
   0.498       6.8367
   0.500       6.7162
   0.502       6.3910
   0.504       6.9031
   0.506       6.3074
   0.508       6.5297
   0.510       6.2780
   0.512       6.7505
   0.514       6.4288
   0.516       7.3220
   0.518       6.6967
   0.520       6.5589
   0.522       6.9142
   0.524       6.4074
   0.526       6.7364
   0.528       6.4595
   0.530       6.7129
   0.532       7.2324
   0.534       6.9479
   0.536       6.3067
   0.538       6.0314
   0.540       6.3434
