#Frame         NE2-O5
   0.002       2.8247
   0.004       3.1216
   0.006       3.1250
   0.008       3.5272
   0.010       3.1826
   0.012       3.4015
   0.014       2.9996
   0.016       3.0638
   0.018       3.1071
   0.020       2.9617
   0.022       2.9669
   0.024       3.5702
   0.026       3.1005
   0.028       2.9217
   0.030       2.8519
   0.032       2.9692
   0.034       3.0784
   0.036       3.1657
   0.038       2.7870
   0.040       2.8998
   0.042       3.0311
   0.044       2.8548
   0.046       3.2735
   0.048       2.7859
   0.050       3.0885
   0.052       3.0102
   0.054       3.3991
   0.056       2.9554
   0.058       3.1350
   0.060       2.9228
   0.062       3.1203
   0.064       2.9513
   0.066       2.8541
   0.068       2.9126
   0.070       3.0011
   0.072       2.9871
   0.074       2.8877
   0.076       2.8171
   0.078       2.7214
   0.080       2.9245
   0.082       3.0350
   0.084       2.8546
   0.086       3.5660
   0.088       2.7623
   0.090       2.8869
   0.092       3.0179
   0.094       3.0479
   0.096       2.8213
   0.098       2.9089
   0.100       3.1800
   0.102       3.1501
   0.104       2.7755
   0.106       3.5757
   0.108       2.9046
   0.110       2.8041
   0.112       2.9618
   0.114       3.0084
   0.116       3.0924
   0.118       3.1468
   0.120       2.9075
   0.122       3.7505
   0.124       3.1378
   0.126       2.9644
   0.128       2.9751
   0.130       2.8283
   0.132       2.9664
   0.134       3.0029
   0.136       2.9319
   0.138       2.8967
   0.140       3.0205
   0.142       3.0072
   0.144       2.9243
   0.146       2.9865
   0.148       2.8678
   0.150       2.7391
   0.152       2.7704
   0.154       2.8093
   0.156       3.0254
   0.158       2.9923
   0.160       2.8716
   0.162       3.1076
   0.164       3.3269
   0.166       2.8984
   0.168       3.2032
   0.170       2.9567
   0.172       2.9494
   0.174       2.6367
   0.176       3.1435
   0.178       3.1701
   0.180       2.8945
   0.182       3.0243
   0.184       2.9358
   0.186       2.9720
   0.188       2.8765
   0.190       3.3432
   0.192       2.9983
   0.194       2.8220
   0.196       3.1051
   0.198       3.1960
   0.200       2.8157
   0.202       3.0649
   0.204       3.1370
   0.206       3.0259
   0.208       3.0561
   0.210       2.9515
   0.212       3.2556
   0.214       2.9839
   0.216       3.1037
   0.218       3.0012
   0.220       2.6644
   0.222       3.0651
   0.224       2.9105
   0.226       3.0473
   0.228       3.2757
   0.230       3.0937
   0.232       2.9586
   0.234       2.7932
   0.236       2.7082
   0.238       2.8431
   0.240       3.0021
   0.242       2.9860
   0.244       2.7988
   0.246       3.2652
   0.248       3.1098
