#Frame          O5-C4
   0.002       6.1854
   0.004       6.6664
   0.006       6.8457
   0.008       6.8938
   0.010       7.3387
   0.012       6.0651
   0.014       6.3409
   0.016       6.1495
   0.018       6.6162
   0.020       6.0516
   0.022       6.1319
   0.024       6.1560
   0.026       6.3623
   0.028       6.6577
   0.030       6.5940
   0.032       6.3376
   0.034       5.8481
   0.036       6.1914
   0.038       6.0093
   0.040       6.6913
   0.042       6.1346
   0.044       6.5715
   0.046       6.6128
   0.048       6.2511
   0.050       6.8055
   0.052       6.5667
   0.054       6.8765
   0.056       5.7383
   0.058       6.9329
   0.060       6.0013
   0.062       6.3705
   0.064       6.6378
   0.066       6.1448
   0.068       6.0273
   0.070       6.5321
   0.072       5.2461
   0.074       6.2296
   0.076       5.8738
   0.078       6.0221
   0.080       5.8748
   0.082       6.6791
   0.084       6.1741
   0.086       6.0387
   0.088       6.3677
   0.090       6.4178
   0.092       6.0721
   0.094       5.7016
   0.096       6.0270
   0.098       6.8576
   0.100       6.7077
   0.102       6.0962
   0.104       6.2181
   0.106       6.0868
   0.108       6.0826
   0.110       6.5566
   0.112       5.3933
   0.114       6.8506
   0.116       6.3426
   0.118       6.0066
   0.120       6.3539
   0.122       6.3932
   0.124       6.1901
   0.126       5.9275
   0.128       5.5059
   0.130       5.9447
   0.132       5.9415
   0.134       6.1853
   0.136       6.7869
   0.138       5.7444
   0.140       4.9508
   0.142       5.9261
   0.144       5.9016
   0.146       5.8160
   0.148       6.2841
   0.150       6.7663
   0.152       6.3899
   0.154       6.7248
   0.156       6.5887
   0.158       5.9474
   0.160       6.2252
   0.162       5.4770
   0.164       5.5535
   0.166       6.3749
   0.168       5.5773
   0.170       5.9460
   0.172       6.3635
   0.174       6.7536
   0.176       6.4548
   0.178       5.7738
   0.180       5.8118
   0.182       6.3719
   0.184       5.9215
   0.186       6.2353
   0.188       6.1006
   0.190       6.3808
   0.192       5.9866
   0.194       6.0515
   0.196       5.5221
   0.198       6.2384
   0.200       5.7097
   0.202       5.8747
   0.204       6.4284
   0.206       6.2866
   0.208       6.4721
   0.210       7.0133
   0.212       5.8604
   0.214       5.6828
   0.216       6.0766
   0.218       5.7864
   0.220       5.5707
   0.222       6.2206
   0.224       5.9687
   0.226       6.3950
   0.228       6.2180
   0.230       5.9409
   0.232       6.3290
   0.234       6.4637
   0.236       6.4718
   0.238       6.3947
   0.240       6.5491
   0.242       6.2567
   0.244       6.3538
   0.246       5.9458
   0.248       5.8142
   0.250       5.6099
   0.252       6.0505
   0.254       6.3867
   0.256       6.3479
   0.258       6.0182
   0.260       5.6506
   0.262       5.7710
   0.264       5.9750
   0.266       6.1906
   0.268       6.4337
   0.270       5.4977
   0.272       6.0215
   0.274       6.4314
   0.276       6.3106
   0.278       6.4007
   0.280       5.9084
   0.282       6.6456
   0.284       6.2744
   0.286       5.8432
   0.288       6.7239
   0.290       5.9917
   0.292       6.6687
   0.294       6.3650
   0.296       6.0947
   0.298       6.3614
   0.300       6.4598
   0.302       6.3087
   0.304       6.4293
   0.306       6.6253
   0.308       6.3072
   0.310       6.2436
   0.312       6.1863
   0.314       6.2908
   0.316       6.3414
   0.318       6.3854
   0.320       5.9186
   0.322       6.0178
   0.324       6.2984
   0.326       6.5803
   0.328       6.6689
   0.330       6.2423
   0.332       6.4580
   0.334       6.5646
   0.336       5.9661
   0.338       6.0104
   0.340       6.0280
   0.342       5.9239
   0.344       5.8012
