#Frame         NE2-O5
   0.002       3.4864
   0.004       4.2634
   0.006       3.5877
   0.008       3.3284
   0.010       4.7014
   0.012       2.9594
   0.014       3.2148
   0.016       3.7997
   0.018       4.3886
   0.020       3.8176
   0.022       4.0245
   0.024       3.8054
   0.026       3.4403
   0.028       4.1141
   0.030       3.9499
   0.032       4.3381
   0.034       4.0823
   0.036       4.2431
   0.038       4.2940
   0.040       3.6908
   0.042       4.5938
   0.044       3.8492
   0.046       4.4041
   0.048       4.0328
   0.050       4.2754
   0.052       3.8926
   0.054       4.3525
   0.056       3.7512
   0.058       4.2280
   0.060       3.9047
   0.062       4.0039
   0.064       5.0162
   0.066       4.0870
   0.068       3.9585
   0.070       4.7534
   0.072       3.8131
   0.074       4.2262
   0.076       4.1751
   0.078       4.0830
   0.080       4.0530
   0.082       3.6761
   0.084       4.2445
   0.086       3.8919
   0.088       3.9769
   0.090       4.3289
   0.092       3.8684
   0.094       4.2647
   0.096       4.6550
   0.098       4.0671
   0.100       4.4339
   0.102       4.0539
   0.104       3.7957
   0.106       4.2681
   0.108       4.7051
   0.110       4.2839
   0.112       4.1448
   0.114       4.0881
   0.116       4.4036
   0.118       4.1963
   0.120       4.2143
   0.122       4.0833
   0.124       3.5308
   0.126       4.0736
   0.128       4.3292
   0.130       3.8299
   0.132       4.3895
   0.134       4.6972
   0.136       4.3072
   0.138       4.1861
   0.140       2.9735
   0.142       3.6750
   0.144       4.1063
   0.146       3.9840
   0.148       4.1612
   0.150       4.1220
   0.152       4.3779
   0.154       4.0388
   0.156       3.9027
   0.158       3.8866
   0.160       3.8553
   0.162       4.0632
   0.164       2.9708
   0.166       4.0984
   0.168       4.5071
   0.170       4.4157
   0.172       4.1882
   0.174       4.3623
   0.176       3.5886
   0.178       4.3667
   0.180       4.6515
   0.182       4.7092
   0.184       4.5875
   0.186       4.0378
   0.188       4.4047
   0.190       4.3841
   0.192       4.2394
   0.194       4.1427
   0.196       4.2669
   0.198       4.5699
   0.200       4.0030
   0.202       4.0028
   0.204       4.4018
   0.206       4.5522
   0.208       4.2626
   0.210       4.1845
   0.212       4.5601
   0.214       4.2782
   0.216       4.4325
   0.218       4.7754
   0.220       4.2910
   0.222       4.2277
   0.224       4.0954
   0.226       4.3300
   0.228       4.7386
   0.230       4.6274
   0.232       4.8494
   0.234       4.7718
   0.236       4.4992
   0.238       4.6675
   0.240       5.3127
   0.242       4.7268
   0.244       3.9311
   0.246       4.7756
   0.248       4.2645
   0.250       4.4860
   0.252       4.7860
   0.254       4.0309
   0.256       4.4606
   0.258       4.7372
   0.260       4.0569
   0.262       4.5696
   0.264       4.6363
   0.266       4.6052
   0.268       4.5153
   0.270       4.2769
   0.272       4.0053
   0.274       4.3317
   0.276       3.8981
   0.278       4.2499
   0.280       4.4840
   0.282       4.4472
   0.284       4.2820
   0.286       4.1225
   0.288       4.2317
   0.290       4.2708
   0.292       4.3640
   0.294       4.4770
   0.296       4.1388
   0.298       4.4441
   0.300       4.5182
   0.302       4.4248
   0.304       4.1743
   0.306       4.4770
   0.308       4.2264
   0.310       4.4707
   0.312       4.3807
   0.314       4.2260
   0.316       4.4768
   0.318       4.3944
   0.320       4.4031
   0.322       4.3504
   0.324       4.6861
   0.326       3.8528
   0.328       4.7527
   0.330       4.5191
   0.332       4.1835
